                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3671,                 1.9743,                  1.425,                0.45046,                 0.4157,                0.39157,                0.18403,                 1.6509,                 2.5649,                    1.8,             0.00066275,             0.00066275,             0.00066275
                      2,                  1.472,                 1.7387,                 1.5296,                0.50763,                0.41026,                0.40893,                 0.1997,                 1.7705,                 1.9013,                 1.8327,              0.0013176,              0.0013176,              0.0013176
                      3,                 1.5269,                 1.7246,                 1.5788,                0.44799,                0.44658,                0.36445,                0.18018,                 1.6701,                 2.3186,                 1.7717,              0.0019605,              0.0019605,              0.0019605
                      4,                 1.5232,                 1.6439,                 1.5752,                0.52328,                0.43234,                0.43721,                0.20576,                 1.6902,                 1.9253,                 1.7572,              0.0019465,              0.0019465,              0.0019465
                      5,                  1.483,                 1.5857,                 1.5353,                0.55834,                0.41382,                0.44277,                0.22326,                 1.6727,                 1.8641,                 1.7824,              0.0019286,              0.0019286,              0.0019286
                      6,                 1.4787,                 1.5606,                 1.5359,                0.54113,                0.48077,                0.49193,                0.26652,                 1.5962,                 1.6695,                 1.7206,              0.0019108,              0.0019108,              0.0019108
                      7,                 1.4209,                 1.4859,                 1.4983,                0.54417,                0.52778,                0.49357,                0.26713,                 1.5301,                 1.7148,                 1.6612,               0.001893,               0.001893,               0.001893
                      8,                  1.423,                 1.4934,                 1.4957,                0.61074,                0.54701,                0.57769,                0.31536,                 1.5258,                 1.4885,                 1.6502,              0.0018751,              0.0018751,              0.0018751
                      9,                 1.4035,                 1.4593,                 1.4854,                0.57005,                0.48634,                0.49752,                0.26129,                 1.5861,                 1.6811,                 1.7162,              0.0018573,              0.0018573,              0.0018573
                     10,                 1.4051,                 1.4328,                 1.4755,                0.63973,                0.52991,                0.59063,                0.33005,                 1.4747,                 1.5144,                 1.5793,              0.0018395,              0.0018395,              0.0018395
